drug_ID,disease_ID
DB01244,D161900
DB00443,D603165
DB00443,D125600
DB00443,D133600
DB00195,D161900
DB01019,D109350
DB01019,D157950
DB01019,D191800
DB00307,D276300
DB01128,D176807
DB00905,D601682
DB00905,D137760
DB00905,D161900
DB00810,D125320
DB01294,D600263
DB00612,D110100
DB00901,D208550
DB00901,D600807
DB00290,D236000
DB00290,D247640
DB00290,D155601
DB00290,D155600
DB00290,D267730
DB00290,D273300
DB00188,D254500
DB00559,D178600
DB00484,D137750
DB00484,D601682
DB00484,D137760
DB00484,D161900
DB01194,D137750
DB01194,D137760
DB01194,D161900
DB00963,D212350
DB00963,D115645
DB01200,D168100
DB00354,D145590
DB01222,D208550
DB01222,D600807
DB01222,D266600
DB01222,D191390
DB00887,D203700
DB00887,D208300
DB00887,D210050
DB00887,D600351
DB00887,D215140
DB00887,D608622
DB00887,D146255
DB00887,D256370
DB00887,D166300
DB00297,D147530
DB00921,D147530
DB01156,D167870
DB01156,D264120
DB00490,D104130
DB00490,D156190
DB00490,D165150
DB00490,D259050
DB00490,D167870
DB00490,D300232
DB01008,D223350
DB01008,D246470
DB01008,D276300
DB01008,D254450
DB01008,D263300
DB00241,D145590
DB00241,D157300
DB00611,D147530
DB00248,D600634
DB00201,D136200
DB00201,D145590
DB00201,D157300
DB00201,D140600
DB00136,D277460
DB13919,D608622
DB13919,D161900
DB01101,D114500
DB01101,D137215
DB01101,D144700
DB01197,D602522
DB01197,D600351
DB01197,D215140
DB01197,D608622
DB01197,D146255
DB01197,D179600
DB01197,D161900
DB00564,D104130
DB00564,D128101
DB00564,D165199
DB00564,D102300
DB00564,D181500
DB00564,D190400
DB00190,D125320
DB00190,D168600
DB00190,D102300
DB00958,D109800
DB00958,D133239
DB00958,D259500
DB00262,D137800
DB00262,D236000
DB00262,D109543
DB00262,D247640
DB00262,D276300
DB00262,D254500
DB00262,D267730
DB00521,D137750
DB00521,D608622
DB00521,D161900
DB01136,D607554
DB01136,D608622
DB01136,D161900
DB01327,D600803
DB00535,D208550
DB00482,D175100
DB00482,D135550
DB00482,D147530
DB00482,D165720
DB00482,D140600
DB00482,D175505
DB00482,D607459
DB00475,D103780
DB01161,D147530
DB00608,D181000
DB00880,D203700
DB00880,D600351
DB00880,D608622
DB00880,D256370
DB00880,D161900
DB00477,D145590
DB00477,D181500
DB00672,D125850
DB00672,D125851
DB00310,D608622
DB00310,D161900
DB00356,D147530
DB00169,D102500
DB00169,D166710
DB00122,D208230
DB00122,D147530
DB00122,D140600
DB00122,D607850
DB01410,D208550
DB01188,D125600
DB00501,D304790
DB00501,D264120
DB00501,D190310
DB00537,D208550
DB00537,D145590
DB00537,D258360
DB00537,D166760
DB00604,D304790
DB00515,D133239
DB00515,D236000
DB00515,D276300
DB00515,D254500
DB00515,D256700
DB00515,D259500
DB00515,D182280
DB00515,D273300
DB00215,D103780
DB00215,D131300
DB00215,D608033
DB00215,D225740
DB00215,D164230
DB00215,D167870
DB00215,D260970
DB00215,D182830
DB04272,D179800
DB04272,D179830
DB04272,D604278
DB00242,D151400
DB00242,D276300
DB00242,D126200
DB00771,D226150
DB11750,D151590
DB00631,D247640
DB00636,D144650
DB00882,D270960
DB01242,D167870
DB01068,D208230
DB01068,D254770
DB01068,D254800
DB01068,D167870
DB01068,D102300
DB01068,D607459
DB00575,D607554
DB00575,D143465
DB00575,D601042
DB00575,D137580
DB00575,D144110
DB00575,D171300
DB00575,D102300
DB00758,D540000
DB00758,D601367
DB00257,D212050
DB00363,D181500
DB00907,D608088
DB00318,D145590
DB01394,D249100
DB00286,D102500
DB00286,D114480
DB00286,D311360
DB00286,D176807
DB00286,D601518
DB01003,D208550
DB01003,D600807
DB01003,D191390
DB00115,D170900
DB01176,D145590
DB00924,D200170
DB00924,D601042
DB00924,D147530
DB00924,D157300
DB00924,D160750
DB00091,D254200
DB00091,D152700
DB00434,D606798
DB00434,D113610
DB00434,D218200
DB00434,D606703
DB00434,D147540
DB00434,D157300
DB00434,D300125
DB00434,D181500
DB00434,D312910
DB00987,D223350
DB00987,D601626
DB00987,D109543
DB00987,D247640
DB00987,D276300
DB00987,D267730
DB00851,D236000
DB00851,D155601
DB00851,D155600
DB00851,D276300
DB00851,D256700
DB00851,D268220
DB01406,D131200
DB01406,D600351
DB01406,D215140
DB01406,D601608
DB01219,D601042
DB01219,D217150
DB01219,D238800
DB01219,D145600
DB01219,D154276
DB01219,D126200
DB01219,D607225
DB01219,D601367
DB01254,D223350
DB01254,D247640
DB01254,D276300
DB00694,D223350
DB00694,D148000
DB00694,D247640
DB00694,D276300
DB01262,D601004
DB01189,D608622
DB01189,D147530
DB01189,D161900
DB01151,D143465
DB01151,D147530
DB00035,D600631
DB00035,D600808
DB00304,D131200
DB00304,D184700
DB00304,D192000
DB01260,D233810
DB00547,D233810
DB01234,D208550
DB01234,D125600
DB01234,D223350
DB01234,D133600
DB01234,D233810
DB01234,D215140
DB01234,D153880
DB01234,D276300
DB01234,D166760
DB01234,D181000
DB00380,D208750
DB00380,D212130
DB00380,D212112
DB00380,D305300
DB00380,D226000
DB01576,D143465
DB01576,D136200
DB00514,D145590
DB00514,D608088
DB00829,D156000
DB00527,D147530
DB00586,D106400
DB00586,D208230
DB00586,D308205
DB00586,D147530
DB00586,D150600
DB00586,D165720
DB00586,D607850
DB00586,D607459
DB00804,D600351
DB00937,D601665
DB00937,D264120
DB00255,D276300
DB00861,D208230
DB00861,D165720
DB00861,D607850
DB00861,D607459
DB00390,D608583
DB00390,D607554
DB01551,D608088
DB00320,D300125
DB01070,D241519
DB00343,D608583
DB00343,D607554
DB00343,D608622
DB00343,D179600
DB00917,D231090
DB01075,D145590
DB01075,D147540
DB01075,D158280
DB01231,D145590
DB01231,D156000
DB00449,D601682
DB00449,D137760
DB00449,D161900
DB00975,D601367
DB00280,D115000
DB00822,D103780
DB00313,D157300
DB00313,D300125
DB01248,D114480
DB01248,D137215
DB01248,D155601
DB01248,D176807
DB00204,D608583
DB00204,D115000
DB00757,D145590
DB00843,D605055
DB00843,D104300
DB00843,D125320
DB00988,D146255
DB00988,D310468
DB00988,D166300
DB00988,D161900
DB00869,D137750
DB00869,D137760
DB00869,D161900
DB00590,D200170
DB00590,D608622
DB00590,D147530
DB00590,D600082
DB00590,D179600
DB00590,D161900
DB01142,D603165
DB01142,D147530
DB00997,D109800
DB00997,D114480
DB00997,D236000
DB00997,D211980
DB00997,D247640
DB00997,D276300
DB00997,D188470
DB00997,D194070
DB00366,D145590
DB00366,D147540
DB01395,D184700
DB01395,D604416
DB00476,D147530
DB00476,D165199
DB00651,D208550
DB00216,D157300
DB00216,D607498
DB00216,D607508
DB00216,D607516
DB00216,D607501
DB00216,D300125
DB00584,D608622
DB01228,D115000
DB01225,D155100
DB01225,D273800
DB01225,D188050
DB00494,D168100
DB00494,D168600
DB01364,D208550
DB01364,D600807
DB00668,D208550
DB00668,D600807
DB00668,D137750
DB00668,D137760
DB00668,D147540
DB00445,D114480
DB01240,D178600
DB01240,D161900
DB01240,D188030
DB00876,D608622
DB00876,D161900
DB00153,D146255
DB00153,D241519
DB00153,D259660
DB00153,D277440
DB00696,D157300
DB00530,D144700
DB00199,D604416
DB01175,D164230
DB00187,D161900
DB00736,D109350
DB00736,D190310
DB00783,D114480
DB00783,D215470
DB00783,D311360
DB00783,D176807
DB01196,D176807
DB00655,D215470
DB00655,D311360
DB00903,D203700
DB00903,D208300
DB00903,D600351
DB00903,D608622
DB00903,D256370
DB00903,D161900
DB00898,D147530
DB00977,D102500
DB00977,D215470
DB00977,D131200
DB00977,D604416
DB00977,D192000
DB00593,D217200
DB00754,D217200
DB00749,D147530
DB00749,D140600
DB00749,D607459
DB00773,D236000
DB00773,D276300
DB00773,D182280
DB00773,D273300
DB01590,D605839
DB01590,D144700
DB00990,D114480
DB00927,D109350
DB00927,D600263
DB00927,D304790
DB00927,D190310
DB00949,D102100
DB01023,D608622
DB01023,D161900
DB01039,D144650
DB00800,D608622
DB00800,D161900
DB00573,D208230
DB00573,D147530
DB00573,D165720
DB00573,D140600
DB00573,D607850
DB00573,D607459
DB00813,D147530
DB01216,D200170
DB01216,D109200
DB01216,D104130
DB01216,D147530
DB01216,D600082
DB01148,D273800
DB01195,D607554
DB01099,D114580
DB01099,D212050
DB01073,D223350
DB01073,D236000
DB01073,D151400
DB01073,D247640
DB01073,D276300
DB00687,D157700
DB00687,D252320
DB00180,D208550
DB00591,D603165
DB00324,D278200
DB00544,D106400
DB00544,D114500
DB00544,D137215
DB00544,D276300
DB00472,D131300
DB00472,D252320
DB00472,D164230
DB00472,D167870
DB00472,D181500
DB01185,D114480
DB01185,D241100
DB00623,D181500
DB00846,D233810
DB00712,D103100
DB00712,D208230
DB00712,D140600
DB00712,D607850
DB00712,D607459
DB00499,D176807
DB00588,D600807
DB01095,D144010
DB00176,D164230
DB00176,D167870
DB00569,D188050
DB00983,D600807
DB00492,D608622
DB00492,D161900
DB01320,D217200
DB01320,D239350
DB00998,D157300
DB00947,D114480
DB01677,D206200
DB00695,D203700
DB00695,D208300
DB00695,D215140
DB00695,D143880
DB00695,D608622
DB00695,D256370
DB00695,D166300
DB00996,D208700
DB00996,D600131
DB00996,D607681
DB00996,D607628
DB00996,D607682
DB00996,D607631
DB00996,D608105
DB00996,D300491
DB00996,D157300
DB00996,D102300
DB00996,D190300
DB00674,D605055
DB00441,D144700
DB01241,D144010
DB01241,D260480
DB05259,D126200
DB01016,D125853
DB01016,D600496
DB01120,D125853
DB00222,D125853
DB00222,D125850
DB00222,D600496
DB01067,D125853
DB01067,D125850
DB01067,D125851
DB01067,D600496
DB01296,D208230
DB01296,D140600
DB01296,D607459
DB00644,D146110
DB00014,D114480
DB00014,D131200
DB00014,D176807
DB00014,D601518
DB00889,D145590
DB00226,D608622
DB00226,D161900
DB01170,D608622
DB01170,D161900
DB01018,D143465
DB01018,D608622
DB01018,D161900
DB00536,D113610
DB00536,D218200
DB00536,D312910
DB00596,D233810
DB00502,D127750
DB00502,D137580
DB00502,D181500
DB00502,D182830
DB01109,D540000
DB01109,D601367
DB01275,D145500
DB00999,D102500
DB00999,D208300
DB00999,D125700
DB00999,D600351
DB00999,D215140
DB00999,D161900
DB00956,D147530
DB00956,D608088
DB00741,D125600
DB00741,D233810
DB00327,D608088
DB01005,D605839
DB01005,D155600
DB01005,D276300
DB01005,D263300
DB01005,D144700
DB01005,D187950
DB00557,D147530
DB00424,D200170
DB00424,D226150
DB00424,D144110
DB00424,D260570
DB00424,D190310
DB00710,D166710
DB01050,D208230
DB01050,D145590
DB01050,D147530
DB01050,D252320
DB01050,D140600
DB01050,D607850
DB01050,D607459
DB00308,D608583
DB00308,D607554
DB01177,D247640
DB01181,D236000
DB01181,D151400
DB01181,D273300
DB01088,D608622
DB01088,D145500
DB01088,D178600
DB01088,D161900
DB00619,D607685
DB00619,D247640
DB00619,D276300
DB00619,D131440
DB00458,D143465
DB00458,D600631
DB00458,D600808
DB00458,D167870
DB00724,D106400
DB00808,D600351
DB00808,D215140
DB00808,D608622
DB00808,D256370
DB00808,D161900
DB00328,D602522
DB00328,D133600
DB00328,D263800
DB00328,D147530
DB00328,D246400
DB00328,D157300
DB00328,D165720
DB00328,D140600
DB00328,D607850
DB00332,D208550
DB00332,D210050
DB01029,D125853
DB01029,D608622
DB01029,D146255
DB01029,D125851
DB01029,D600496
DB01029,D161900
DB00762,D114500
DB00762,D223350
DB00762,D246470
DB00762,D276300
DB00221,D208550
DB00221,D600807
DB00221,D210050
DB01064,D115000
DB00883,D608320
DB00883,D178600
DB00883,D161900
DB01020,D608320
DB01020,D109350
DB00982,D601626
DB00270,D608622
DB00270,D179600
DB00270,D161900
DB01167,D114580
DB01167,D212050
DB01167,D602068
DB01167,D258360
DB01221,D147530
DB01009,D145590
DB01009,D165720
DB01009,D140600
DB01009,D607850
DB01009,D607459
DB00465,D308205
DB00465,D147530
DB00598,D110100
DB00598,D157700
DB00598,D171300
DB00598,D161900
DB00160,D261515
DB00555,D102100
DB00555,D217200
DB00555,D239350
DB00555,D181500
DB00448,D600263
DB00448,D190310
DB01259,D114480
DB01259,D276300
DB00125,D220120
DB00654,D137750
DB00654,D601682
DB00654,D161900
DB00583,D212140
DB00480,D254500
DB01006,D114480
DB00650,D114500
DB00650,D259500
DB00650,D176800
DB00007,D131200
DB00007,D150699
DB00007,D175510
DB00007,D176807
DB00007,D601518
DB00007,D600082
DB00007,D604416
DB00848,D276300
DB01202,D217200
DB01202,D600131
DB01202,D607681
DB01202,D607628
DB01202,D604827
DB01202,D607682
DB01202,D607631
DB01202,D300491
DB01202,D239350
DB01210,D231200
DB01210,D137750
DB01210,D161900
DB01210,D273800
DB01002,D147530
DB01235,D102300
DB01137,D208550
DB01137,D166760
DB00367,D131200
DB00367,D184700
DB00451,D138800
DB00451,D275000
DB00451,D140300
DB00281,D147530
DB00279,D138800
DB00279,D275000
DB00279,D140300
DB00279,D255900
DB01255,D300494
DB01255,D143465
DB00722,D608320
DB00722,D146255
DB00722,D161900
DB00167,D225755
DB00167,D608033
DB00167,D225740
DB01356,D181500
DB00186,D167870
DB00186,D189600
DB00678,D145500
DB00227,D608320
DB00227,D144010
DB00408,D181500
DB14513,D109350
DB00653,D217200
DB00653,D127350
DB00653,D239350
DB00653,D248190
DB00470,D109100
DB00179,D106400
DB00657,D137580
DB00657,D608622
DB00657,D145500
DB00657,D161900
DB00939,D147530
DB00603,D102500
DB00603,D131200
DB00603,D605839
DB00351,D114480
DB00351,D192000
DB00814,D208230
DB00814,D165720
DB00814,D140600
DB00814,D607850
DB00814,D607459
DB01042,D254500
DB01042,D256700
DB01042,D268220
DB01043,D605055
DB01043,D104300
DB01043,D125320
DB00454,D147530
DB00532,D104130
DB00371,D200170
DB00371,D601042
DB00371,D145590
DB01033,D266600
DB01033,D191390
DB01033,D151400
DB01033,D247640
DB00244,D266600
DB00933,D181500
DB00331,D125853
DB00331,D125850
DB00331,D125851
DB00331,D600496
DB00331,D184700
DB00331,D176800
DB00333,D147530
DB01577,D143465
DB01577,D601665
DB00763,D275000
DB00563,D208920
DB00563,D109800
DB00563,D114480
DB00563,D114500
DB00563,D223350
DB00563,D133239
DB00563,D137215
DB00563,D233810
DB00563,D236000
DB00563,D231090
DB00563,D246470
DB00563,D601626
DB00563,D109543
DB00563,D151590
DB00563,D247640
DB00563,D276300
DB00563,D259500
DB00563,D268220
DB00563,D182280
DB00563,D273300
DB01403,D147530
DB00232,D215140
DB00992,D106400
DB00968,D161900
DB00353,D157300
DB00422,D143465
DB00959,D208550
DB00959,D109100
DB00959,D146850
DB00959,D147540
DB00959,D276300
DB00959,D140600
DB01214,D137750
DB01214,D601682
DB01233,D109350
DB00524,D215140
DB00524,D608622
DB00524,D161900
DB00264,D110100
DB00264,D608622
DB00264,D157700
DB00264,D161900
DB00264,D190300
DB00765,D171300
DB00379,D115000
DB01110,D212050
DB00211,D157700
DB00211,D252320
DB00491,D125853
DB00491,D125850
DB00491,D125851
DB00491,D600496
DB00419,D230800
DB01017,D604416
DB00350,D104130
DB00350,D161900
DB00929,D140600
DB00305,D109800
DB00305,D137215
DB01204,D236000
DB01204,D147530
DB01204,D601626
DB01204,D109543
DB01204,D176807
DB00745,D107650
DB00745,D143465
DB00745,D136200
DB00691,D146255
DB00691,D161900
DB00764,D208550
DB00764,D233810
DB00471,D208550
DB00471,D600807
DB00471,D210050
DB00295,D147530
DB00218,D208550
DB00461,D147530
DB01203,D608622
DB01203,D157700
DB01203,D190300
DB01203,D190310
DB00844,D147530
DB00704,D103780
DB00788,D208230
DB00788,D133600
DB00788,D133690
DB00788,D145590
DB00788,D147530
DB00788,D150600
DB00788,D252320
DB00788,D165720
DB00788,D140600
DB00788,D607850
DB00788,D607459
DB00952,D157300
DB00731,D125853
DB00731,D125851
DB00731,D600496
DB04861,D110100
DB04861,D608622
DB04861,D157700
DB04861,D161900
DB00716,D208550
DB00716,D600807
DB01400,D254200
DB01400,D157950
DB00627,D144650
DB00622,D161900
DB01115,D608622
DB01115,D179600
DB00393,D601367
DB00401,D608622
DB00401,D179600
DB00401,D161900
DB00727,D189800
DB00727,D179600
DB00325,D608622
DB00325,D161900
DB00585,D109350
DB00585,D600263
DB00585,D190310
DB00368,D146500
DB00717,D102500
DB00717,D215470
DB00717,D184700
DB00717,D604416
DB00717,D192000
DB00957,D131200
DB00957,D192000
DB00540,D143465
DB00540,D600631
DB00540,D600808
DB00540,D147530
DB00540,D167870
DB00104,D125852
DB01165,D600263
DB00334,D300494
DB00334,D164230
DB00334,D181500
DB00275,D608622
DB00275,D161900
DB00338,D109350
DB00338,D600263
DB00338,D304790
DB00338,D190310
DB00904,D103780
DB00904,D145590
DB00904,D164230
DB00816,D208550
DB00816,D210050
DB01083,D303110
DB01083,D601665
DB01173,D147530
DB01173,D157300
DB01173,D160750
DB00991,D208230
DB00991,D165720
DB00991,D140600
DB00991,D607850
DB00991,D607459
DB00776,D208700
DB00776,D217200
DB00776,D607681
DB00776,D604827
DB00776,D607631
DB00776,D608105
DB00776,D267740
DB01062,D144110
DB00497,D147530
DB01192,D147530
DB01229,D114480
DB01229,D148000
DB01229,D194070
DB01267,D181500
DB03796,D115300
DB03796,D277350
DB00282,D102400
DB00282,D143880
DB00282,D167320
DB00282,D254500
DB00282,D166300
DB00282,D166710
DB00213,D109350
DB00213,D600263
DB00213,D190310
DB01113,D115000
DB01113,D179600
DB00715,D131300
DB00715,D164230
DB00642,D276300
DB01359,D608622
DB00652,D147530
DB00686,D147530
DB00552,D276300
DB00806,D540000
DB00806,D601367
DB01186,D168100
DB01186,D168600
DB00790,D608320
DB00790,D146255
DB01579,D303110
DB01579,D601665
DB01579,D264120
DB01174,D208085
DB01174,D218800
DB01174,D237500
DB01174,D226150
DB01174,D121200
DB01174,D121201
DB01174,D608217
DB01174,D143500
DB01174,D237450
DB01174,D308600
DB00925,D171300
DB00191,D303110
DB00191,D601665
DB00191,D264120
DB00692,D231200
DB00692,D155100
DB00692,D171300
DB00692,D161900
DB00692,D273800
DB00388,D137750
DB00388,D601682
DB00388,D137760
DB00388,D145590
DB00388,D147540
DB00388,D146500
DB00388,D608088
DB00397,D303110
DB00397,D601665
DB00397,D264120
DB00252,D104130
DB00252,D217200
DB01085,D161900
DB00337,D603165
DB00960,D608622
DB00960,D161900
DB01132,D125853
DB01132,D125850
DB01132,D125851
DB01132,D600496
DB01291,D600807
DB00554,D208230
DB00554,D165720
DB00554,D607850
DB00554,D607459
DB00707,D133239
DB00733,D254200
DB00413,D125320
DB00413,D168100
DB00413,D168600
DB00413,D102300
DB00175,D144010
DB00175,D601367
DB01058,D181460
DB00457,D200170
DB00457,D608622
DB00457,D147530
DB00457,D179600
DB00457,D161900
DB00860,D600351
DB00860,D304790
DB00860,D147540
DB00860,D276300
DB00860,D126200
DB00635,D205700
DB00635,D208550
DB00635,D109100
DB00635,D125600
DB00635,D223350
DB00635,D600351
DB00635,D233810
DB00635,D143880
DB00635,D146850
DB00635,D304790
DB00635,D147540
DB00635,D151590
DB00635,D247640
DB00635,D157300
DB00635,D276300
DB00635,D126200
DB00635,D254400
DB00635,D181000
DB00635,D152700
DB00635,D188030
DB00230,D147530
DB00230,D165199
DB00230,D102300
DB00750,D147530
DB00794,D208700
DB00794,D217200
DB00794,D121201
DB00794,D132090
DB00794,D600131
DB00794,D607681
DB00794,D607628
DB00794,D604827
DB00794,D607682
DB00794,D607631
DB00794,D132100
DB00794,D132300
DB00794,D608105
DB00794,D190300
DB00794,D190310
DB01035,D608583
DB01035,D607554
DB01035,D115000
DB00721,D147530
DB00433,D225755
DB00433,D608033
DB00433,D225740
DB00433,D145590
DB00433,D260970
DB00433,D182830
DB00387,D125320
DB00387,D168100
DB00396,D217200
DB01069,D147540
DB01069,D158280
DB01182,D607554
DB00647,D147530
DB00571,D115000
DB00571,D140850
DB00571,D608622
DB00571,D157300
DB00571,D157700
DB00571,D171300
DB00571,D161900
DB00571,D190300
DB00550,D275000
DB00852,D600807
DB00852,D608088
DB00545,D252320
DB00545,D254200
DB00114,D239350
DB00165,D217200
DB01224,D164230
DB01224,D181500
DB00881,D608622
DB00881,D146255
DB00881,D161900
DB00908,D608583
DB00908,D607554
DB00908,D115000
DB00468,D200170
DB01129,D109350
DB01129,D600263
DB01129,D190310
DB00481,D114480
DB00178,D608622
DB00178,D146255
DB00863,D109350
DB00863,D190310
DB01367,D168600
DB00899,D147530
DB00912,D125853
DB00912,D125850
DB00912,D125851
DB00912,D600496
DB00206,D608622
DB00206,D161900
DB00140,D145590
DB01045,D246300
DB00884,D167320
DB00884,D602080
DB00734,D300494
DB00734,D225755
DB00734,D225740
DB00734,D137580
DB00734,D260970
DB00734,D181500
DB00989,D125320
DB00989,D168100
DB00953,D157300
DB00533,D157300
DB00268,D168100
DB00268,D168600
DB00268,D102300
DB00412,D125853
DB00412,D125851
DB00412,D600496
DB01098,D144010
DB01001,D208550
DB01001,D600807
DB00936,D125600
DB00936,D147530
DB00936,D604416
DB00938,D600807
DB00017,D143880
DB00017,D167320
DB00017,D166710
DB01399,D145590
DB01399,D147530
DB01232,D109100
DB00747,D107550
DB00747,D226150
DB00747,D158280
DB00747,D168100
DB00747,D190310
DB00010,D604416
DB01104,D164230
DB01105,D303110
DB01105,D601665
DB01105,D264120
DB00203,D178600
DB00641,D144010
DB01261,D125853
DB01261,D125850
DB01261,D125851
DB01261,D600496
DB00464,D192200
DB00398,D114550
DB00398,D605839
DB00398,D144700
DB00398,D188470
DB00489,D608583
DB00421,D104130
DB00421,D208300
DB00421,D215140
DB00421,D161900
DB00428,D236000
DB00364,D109350
DB00364,D161900
DB00364,D190310
DB00795,D266600
DB00605,D175100
DB00605,D208230
DB00605,D133690
DB00605,D147530
DB00605,D165720
DB00605,D140600
DB00605,D607850
DB00605,D607459
DB00669,D157300
DB00669,D300125
DB01268,D605839
DB01268,D144700
DB00382,D605055
DB00382,D104300
DB00864,D603165
DB00820,D178600
DB00675,D114480
DB00675,D174800
DB00706,D147530
DB00706,D310468
DB00706,D600082
DB00966,D608622
DB00966,D145500
DB00966,D161900
DB00853,D155601
DB00853,D155600
DB00853,D276300
DB06287,D605839
DB06287,D144700
DB00444,D236000
DB00444,D182280
DB01162,D200170
DB01162,D144110
DB01162,D608622
DB01162,D147530
DB01162,D157950
DB01162,D161900
DB00871,D208550
DB00871,D600807
DB00871,D210050
DB00342,D147540
DB06285,D606842
DB06285,D166710
DB00624,D114480
DB04844,D143100
DB00759,D137400
DB00759,D600263
DB00759,D604416
DB01041,D246300
DB01041,D254500
DB00277,D208550
DB00277,D600807
DB00277,D210050
DB00352,D601626
DB00679,D181500
DB01623,D181500
DB00906,D217200
DB00208,D188050
DB01133,D167320
DB01133,D602080
DB00373,D608622
DB00373,D300125
DB00775,D608320
DB00697,D200170
DB00697,D601042
DB00697,D157300
DB00697,D160750
DB00697,D190400
DB00839,D125851
DB00839,D600496
DB01124,D125853
DB01124,D125850
DB01124,D125851
DB01124,D600496
DB00323,D168100
DB00323,D168600
DB00500,D208230
DB00500,D165720
DB00500,D607850
DB00273,D308350
DB00273,D147530
DB00273,D157300
DB00273,D300125
DB00273,D264120
DB01030,D276300
DB00214,D208300
DB00214,D600351
DB00214,D215140
DB00214,D608622
DB00214,D146255
DB00214,D166300
DB00214,D161900
DB00193,D102300
DB00519,D608622
DB00519,D146255
DB00302,D227300
DB00302,D134430
DB00302,D134510
DB00302,D134500
DB00302,D134520
DB00287,D137750
DB00287,D601682
DB00287,D137760
DB00374,D178600
DB00374,D161900
DB00755,D145100
DB00755,D145200
DB00755,D182000
DB00755,D151590
DB00755,D276300
DB00755,D604416
DB00620,D104130
DB00620,D208550
DB00620,D114580
DB00620,D223350
DB00620,D133600
DB00620,D147540
DB00620,D148100
DB00620,D151590
DB00620,D165199
DB00620,D173200
DB00620,D181000
DB00384,D208300
DB00384,D210050
DB00384,D215140
DB00831,D181500
DB00508,D145590
DB00376,D168100
DB00440,D208550
DB00440,D166760
DB00440,D604416
DB01157,D109100
DB03904,D173200
DB00580,D208230
DB00580,D165720
DB00580,D140600
DB00580,D607850
DB00580,D607459
DB00313,D104300
DB00313,D217200
DB00313,D125320
DB00313,D181500
DB00385,D109800
DB00177,D608622
DB00177,D161900
DB00067,D125700
DB00067,D304900
DB00285,D143465
DB00285,D607499
DB00285,D131300
DB00285,D147530
DB00285,D164230
DB00285,D167870
DB00661,D200170
DB00661,D608583
DB00661,D115195
DB00661,D608622
DB00661,D157300
DB00661,D161900
DB01080,D605021
DB00570,D114480
DB00570,D236000
DB00570,D148000
DB00570,D276300
DB00570,D254400
DB00570,D273300
DB00541,D223350
DB00541,D236000
DB00541,D246470
DB00541,D601626
DB00541,D109543
DB00541,D247640
DB00541,D254500
DB00541,D256700
DB00541,D267730
DB00541,D268220
DB00541,D601608
DB00361,D236000
DB00162,D115300
DB00162,D277350
DB00126,D240400
DB00126,D206200
DB00126,D250790
DB00163,D200170
DB00163,D605055
DB00163,D104300
DB00163,D125320
DB00163,D606703
DB00163,D230450
DB00163,D231900
DB00163,D266120
DB02546,D276300
DB00682,D107320
DB00682,D607554
DB00682,D125310
DB00682,D601367
DB00549,D208550
DB00744,D600807
DB00246,D181500
DB00399,D102500
DB00399,D143880
DB00399,D167320
DB00399,D276300
DB00399,D254500
DB00399,D602080
DB00315,D157300
DB00909,D208700
DB00909,D217200
DB00909,D600131
DB00909,D607681
DB00909,D607628
DB00909,D604827
DB00909,D607631
DB00909,D608105
DB00909,D239350
DB00909,D267740
